,Date,Tweet,Sentiment_Score
71,2016-06-15,'RT @SunriseTrader: $GOOGL confirmed indecision candle at gap resistance &amp; 4 day pullback near support see what it does today on watch https\xc9',2.0
72,2016-06-15,"'RT @YahooFinance: Traders: Amazon will hit $1,000 before Alphabet https://t.co/nkHaN7INVo $GOOGL $AMZN https://t.co/HdiZ141iYz'",0.0
73,2016-06-15,'$GOOGL held where it needed to but really going to be hard to trade until above 740 https://t.co/SbdYvJtOvI',-1.0
74,2016-06-15,'Lenovo and Google unveil a smartphone that knows its way around a room: https://t.co/CrQ8XTJMtk $GOOGL',0.0
75,2016-06-15,'Lenovo and Google unveil a smartphone that knows its way around a room: https://t.co/GKeZTc4e5y $GOOGL',0.0
76,2016-06-15,'HOD.TO Horizons BetaPro NYMEX Crude Oil Bear Plus ETF Ask Size\rhttps://t.co/puEWb4cFMM\r\r$HOD.TO $RSP $SQ $GOOGL  #invest #share',0.0
77,2016-06-15,'GOOGL Alphabet Inc. Company Info\rhttps://t.co/Lskanymll3\r\r$GOOGL $TZA $TSLA $ONVO  #stock #finance',0.0
78,2016-06-14,'RT @Dealogic: $GOOGL buying $TWTR predicted to follow Microsoft\xd5s move for LinkedIn https://t.co/seIfYvuRPn $MSFT $LKND #business #market',0.0
79,2016-06-14,'$GOOGL:\r\rGoogle Ventures CEO: More Tech IPOs in Next 18 Months:\r\rhttps://t.co/zNhRqLA7A6',0.0
80,2016-06-14,'Could We Have Flying Cars Before Driverless Ones? $GOOG $GOOGL $TSLA  https://t.co/zB23V4el5S via @benzinga',0.0
81,2016-06-14,'$GOOGL: Analyst action by Maxim Group on Alphabet: https://t.co/1jJVD7YHoa https://t.co/fJoxhfwsaz',0.0
82,2016-06-14,"'Our Educational, Charting, &amp; Pro Trader services will be launching on July 1st! $aapl $wmt $ge $nflx $tsla $amzn $goog $googl $msft'",0.0
83,2016-06-14,'$GOOGL $AAPL $FB:\r\rCalifornia Overtakes France to Become Sixth-Largest Economy:\r\rhttps://t.co/Z2JFOI57iV',0.0
84,2016-06-14,'UNM Unum Group Stock Message Board\rhttps://t.co/M06RcuVmc4\r\r$UNM $GOOGL $GLW $XIV  #invest #invest',0.0
85,2016-06-14,'$GOOGL Wide and loose but holding where it needed to. https://t.co/V8bodsTgvH',-3.0
86,2016-06-14,'SYMC Symantec Corp. P/E Ratio\rhttps://t.co/w6bRGBrc3J\r\r$SYMC $GOOGL $ACIA $AMZN  #tradeideas #investing',0.0
87,2016-06-14,'SMN ProShares UltraShort Basic Materials Market Cap\rhttps://t.co/5gkDT82Lo2\r\r$SMN $SLW $WTI $GOOGL  #stock #finance',0.0
88,2016-06-14,'RT @OphirGottlieb: Checkout what Google and Apple are doing with AI (videos too)\rhttps://t.co/FbvW6EQNn7\r\r$AAPL $GOOG $GOOGL',0.0
89,2016-06-14,'RT @OphirGottlieb: Checkout what Google and Apple are doing with AI (videos too)\rhttps://t.co/FbvW6EQNn7\r\r$AAPL $GOOG $GOOGL',0.0
90,2016-06-14,'5 Things Apple Must Do At WWDC (To Keep The Stock From Tanking) https://t.co/ID8lWenNR0 $AMZN $BBRY $GOOG $IBM $MSFT $QCOM $SSNLF $GOOGL',0.0
91,2016-06-14,'Checkout what Google and Apple are doing with AI (videos too)\rhttps://t.co/FbvW6EQNn7\r\r$AAPL $GOOG $GOOGL',0.0
92,2016-06-14,'Commented on How To Get Out Of Losing Stock Positions https://t.co/nU1xuBOmDc $BP $CIEN $FB $MSFT $MU $NUAN $VSLR $XOM $GOOG $GOOGL $HIMX',0.0
93,2016-06-14,'HYG iShares iBoxx $ High Yield Corporate Bond ETF Current Price\rhttps://t.co/nZYFjCvbwX\r\r$HYG $GOOGL $BIS $OUTR  #pennystocks #stockmarket',0.0
94,2016-06-14,"'I beat 100% of people trading $GOOGL, ranking #2. Holy shit!! The Trading Game: https://t.co/mCaD80US2F'",-4.0
95,2016-06-14,'$GOOGL $GOOG:\r\rTech Giants Race to Develop Machine Intelligence:\r\rhttps://t.co/0KAZLTeJaX',0.0
